mode,label,broker,port,transport,tls,topic,seq,t_pub_ns,t_recv_ns,latency_s,qos,client_id,sent_known
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,119,102304261686200,102304432253600,0.1705674,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,120,102304312902200,102304507907800,0.1950056,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,121,102304363706200,102304585652800,0.2219466,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,122,102304414658400,102304585761600,0.1711032,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,123,102304465530000,102304660819900,0.1952899,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,124,102304516522500,102304739078500,0.222556,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,125,102304567233800,102304739197200,0.1719634,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,126,102304617789300,102304816930400,0.1991411,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,127,102304668417500,102304894473500,0.226056,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,128,102304719302700,102304894696400,0.1753937,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,129,102304769866800,102304967581600,0.1977148,0,latency-mqtts8883-3b290931,True
mqtts8883,MQTT 8883 con TLS,mqtt.mecatronica-ibero.mx,8883,tcp,True,huber/latency/mqtts8883/3b290931,130,102304820586700,102305040820000,0.2202333,0,latency-mqtts8883-3b290931,True
